"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLA2G4C",2.07537004,1.71299235377778,6.34741726353263,6.82190874355136e-05,0.000544823974283873,1.57663084727797
"DUSP4",2.17405128,2.29217211111111,6.30233434920365,7.24633523081978e-05,0.000574454560742998,1.51296497159719
"LONRF1",1.5757575,1.50814649333333,6.2572241313076,7.69952167620875e-05,0.000605176776815775,1.44898170849058
"VOPP1",2.02730368,1.88411743755556,6.24454190965123,7.83234076514295e-05,0.000614120230345899,1.43094319847337
"IRF1-AS1",2.14059594,2.15609535222222,6.23435759489349,7.94077958412763e-05,0.000619611253402365,1.41644155547727
"ACY1",1.85679264,1.92706658888889,6.22811872791924,8.00800365832614e-05,0.000622598163941911,1.40755085844612
"CAV2",2.7394555,1.82772942222222,6.2077850201841,8.23137228794546e-05,0.000633854956731647,1.37853708420025
"POM121L15P",3.27642336,3.73658414444444,6.20556293616363,8.25618438343017e-05,0.000634251878884225,1.37536298031414
"GTPBP2",1.74814674,1.49397135888889,6.16673393186175,8.7029571953234e-05,0.000665405009258554,1.31978822478428
"ID2",2.36453554,2.30837601111111,6.16299851066013,8.74728531314644e-05,0.000668002747050106,1.31443084695916
"NBPF4",2.27077514,2.77629292222222,6.15750451291389,8.81292297913853e-05,0.000671426115518075,1.30654779476792
"TMPRSS13",1.56997414,1.33545287777778,6.1427479116469,8.99185139270807e-05,0.000681838038039309,1.28535363830661
"PDE4DIP",1.56778564,1.69135077333333,6.10926609519079,9.41244025163422e-05,0.000712057174018706,1.23715354587351
"DRD5P2",1.63480418,1.40719362777778,6.10285490513298,9.49535598726484e-05,0.000717488667281265,1.22790632787122
"BVES",1.50225622,1.70136142222222,6.08260111616601,9.76248297065431e-05,0.00073423429614956,1.1986556707745
"DUSP1",1.5338953,1.7065738,6.07942546124341,9.80509218455744e-05,0.000736580440825951,1.19406420184421
"MINK1",2.00427686,1.83689351733333,6.04229354986654,0.000103183716021578,0.000767101980976084,1.14027358605852
"MT1H",2.97490176,3.45526386666667,6.01632708519627,0.00010694381707696,0.000786896752106755,1.10254360859547
"FLOT1",1.56555708,1.27905601,5.98340692053621,0.000111923243463622,0.000816091175221192,1.0545745941437
"ARMC9",1.690194886,1.42131459777778,5.90727662811093,0.000124415343694404,0.000894044780467695,0.94306290739927
"HIP1R",1.99471022,2.23397152666667,5.89253363574258,0.000127002719111148,0.000910609496026929,0.921374413347149
"LGALS14",2.56759042,2.33847887111111,5.8498730836885,0.00013481944448138,0.000956032829932251,0.858444651293244
"LINC01232",1.55351132,1.50346029,5.83220491850169,0.00013820619783867,0.000974693546068782,0.832307100274525
"PGD",1.566506588,1.25544559,5.82773042148272,0.000139078270342512,0.000979773011484965,0.825680762064085
"RUFY3",2.62153438,2.21244348444444,5.79413996518109,0.000145816046588103,0.00101614573286504,0.775846463418617
