NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_HIV_LIFE_CYCLE	149	132		
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	28	24		
REACTOME_INTEGRATION_OF_PROVIRUS	9	9		
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	14	14		
REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION	14	11		
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	18	18		
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	7	6		
REACTOME_HIV_INFECTION	231	211		
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	131	121		
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	124	108		
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	94	82		
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	127	83		
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	18		Rejected!	
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	5	5		
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	33	33		
REACTOME_TRIGLYCERIDE_CATABOLISM	24	21		
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	8	8		
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	108	108		
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	8	8		
REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	7	7		
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	34	32		
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	55	52		
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	42	37		
REACTOME_CELL_CYCLE	693		Rejected!	
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	25	24		
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING	17	17		
REACTOME_2_LTR_CIRCLE_FORMATION	7	7		
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	21	21		
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	10	10		
REACTOME_NEF_AND_SIGNAL_TRANSDUCTION	8	8		
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS	28	28		
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	67	59		
REACTOME_MTOR_SIGNALLING	41	30		
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	55	51		
